City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Georgetown,MY,5.4112,100.3354,80.53,93,20,3.44,few clouds,2022-04-18 18:49:00
1,Jutai,BR,-5.1833,-68.9,80.55,89,50,2.66,light rain,2022-04-18 18:49:01
2,Rio Gallegos,AR,-51.6226,-69.2181,51.42,57,100,20.54,overcast clouds,2022-04-18 18:49:01
3,Algiers,DZ,36.7525,3.042,64.22,48,75,6.91,broken clouds,2022-04-18 18:44:03
4,Port Alfred,ZA,-33.5906,26.891,60.19,95,46,2.28,scattered clouds,2022-04-18 18:40:51
5,Rudbar,AF,30.15,62.6,66.07,47,96,23.0,light rain,2022-04-18 18:49:02
6,Verkhnyaya Inta,RU,65.9811,60.3094,28.62,97,99,11.92,overcast clouds,2022-04-18 18:49:02
7,Jamestown,US,42.097,-79.2353,36.52,65,100,17.27,light snow,2022-04-18 18:39:07
8,Bambous Virieux,MU,-20.3428,57.7575,79.21,94,40,10.36,scattered clouds,2022-04-18 18:49:02
9,Hobyo,SO,5.3505,48.5268,83.77,80,44,14.27,scattered clouds,2022-04-18 18:49:03
10,Narsaq,GL,60.9167,-46.05,43.02,49,100,4.99,overcast clouds,2022-04-18 18:49:03
11,Bandarbeyla,SO,9.4942,50.8122,82.06,80,0,9.86,clear sky,2022-04-18 18:49:03
12,Kampene,CD,-3.6,26.6667,70.66,97,91,1.41,light rain,2022-04-18 18:48:00
13,Schoonhoven,NL,51.9475,4.8486,60.96,51,100,6.42,overcast clouds,2022-04-18 18:49:04
14,Vila Velha,BR,-20.3297,-40.2925,80.55,62,20,17.27,few clouds,2022-04-18 18:49:04
15,Montepuez,MZ,-13.1256,38.9997,68.81,97,49,3.94,scattered clouds,2022-04-18 18:49:05
16,Cape Town,ZA,-33.9258,18.4232,64.9,83,0,12.66,clear sky,2022-04-18 18:36:23
17,Lulea,SE,65.5842,22.1547,35.67,87,0,5.75,clear sky,2022-04-18 18:49:05
18,Punta Arenas,CL,-53.15,-70.9167,51.91,62,75,10.36,broken clouds,2022-04-18 18:49:06
19,Coihaique,CL,-45.5752,-72.0662,59.61,54,40,8.05,scattered clouds,2022-04-18 18:45:02
20,Muros,ES,42.7762,-9.0603,56.84,64,5,16.69,clear sky,2022-04-18 18:49:06
21,Kudahuvadhoo,MV,2.6708,72.8944,83.62,69,100,5.55,overcast clouds,2022-04-18 18:49:06
22,Hithadhoo,MV,-0.6,73.0833,83.46,71,100,2.91,overcast clouds,2022-04-18 18:49:07
23,Jizan,SA,17.3333,42.6667,86.94,56,7,1.7,clear sky,2022-04-18 18:49:07
24,Gwadar,PK,25.1216,62.3254,80.06,90,72,4.76,broken clouds,2022-04-18 18:49:07
25,Cidreira,BR,-30.1811,-50.2056,70.99,67,89,12.26,overcast clouds,2022-04-18 18:49:08
26,Ushuaia,AR,-54.8,-68.3,46.06,71,75,4.61,broken clouds,2022-04-18 18:49:08
27,Hermanus,ZA,-34.4187,19.2345,61.81,88,4,10.18,clear sky,2022-04-18 18:49:08
28,Delta Del Tigre,UY,-34.7633,-56.3853,70.21,73,75,11.5,broken clouds,2022-04-18 18:49:09
29,Sao Filipe,CV,14.8961,-24.4956,72.5,75,79,11.81,broken clouds,2022-04-18 18:49:09
30,Ponta Do Sol,PT,32.6667,-17.1,66.13,64,13,11.95,few clouds,2022-04-18 18:49:09
31,Bredasdorp,ZA,-34.5322,20.0403,59.88,91,5,6.98,clear sky,2022-04-18 18:49:10
32,Nanortalik,GL,60.1432,-45.2371,35.01,74,100,1.99,overcast clouds,2022-04-18 18:49:10
33,Padre Bernardo,BR,-15.35,-48.5,89.96,29,19,2.1,few clouds,2022-04-18 18:49:10
34,Grindavik,IS,63.8424,-22.4338,45.07,70,75,16.11,broken clouds,2022-04-18 18:49:11
35,Cabrobo,BR,-8.5142,-39.31,87.17,50,100,7.36,moderate rain,2022-04-18 18:49:11
36,Busselton,AU,-33.65,115.3333,61.48,87,94,5.08,overcast clouds,2022-04-18 18:49:12
37,Gazli,UZ,40.1333,63.45,58.28,76,100,8.59,overcast clouds,2022-04-18 18:49:12
38,Bengkulu,ID,-3.8004,102.2655,75.04,89,100,4.47,overcast clouds,2022-04-18 18:49:12
39,Dingle,PH,10.9995,122.6711,76.82,85,25,9.42,scattered clouds,2022-04-18 18:49:13
40,Dikson,RU,73.5069,80.5464,2.35,94,100,13.27,overcast clouds,2022-04-18 18:49:13
41,Senador Jose Porfirio,BR,-2.5908,-51.9542,83.35,71,98,1.97,overcast clouds,2022-04-18 18:49:13
42,Amapa,BR,1.0,-52.0,78.66,95,100,2.19,overcast clouds,2022-04-18 18:49:14
43,Kisangani,CD,0.5167,25.2,71.6,95,62,0.34,light rain,2022-04-18 18:49:14
