City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
8,Bambous Virieux,MU,79.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
9,Hobyo,SO,83.77,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
11,Bandarbeyla,SO,82.06,clear sky,9.4942,50.8122,JABIR HOTEL
14,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
21,Kudahuvadhoo,MV,83.62,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
22,Hithadhoo,MV,83.46,overcast clouds,-0.6,73.0833,Scoop Guest House
23,Jizan,SA,86.94,clear sky,17.3333,42.6667,شهدان. ابوالحجر
24,Gwadar,PK,80.06,broken clouds,25.1216,62.3254,Sadaf Resort
25,Cidreira,BR,70.99,overcast clouds,-30.1811,-50.2056,Hotel Castelo
28,Delta Del Tigre,UY,70.21,broken clouds,-34.7633,-56.3853,FINCA SUAREZ
29,Sao Filipe,CV,72.5,broken clouds,14.8961,-24.4956,Hotel Xaguate
35,Cabrobo,BR,87.17,moderate rain,-8.5142,-39.31,Hotel Limarques
38,Bengkulu,ID,75.04,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
39,Dingle,PH,76.82,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
41,Senador Jose Porfirio,BR,83.35,overcast clouds,-2.5908,-51.9542,Pousada Novo Horizonte
43,Kisangani,CD,71.6,light rain,0.5167,25.2,Grand Ramela Hotel
45,Tikapur,NP,80.26,clear sky,28.5,81.1333,BANANA AGRO RESORT
47,Dhamtari,IN,85.86,clear sky,20.7072,81.5497,shimon inn
49,Muisne,EC,80.65,overcast clouds,0.6,-80.0333,Quinta Samay
50,Bom Jesus Do Itabapoana,BR,74.95,overcast clouds,-21.1339,-41.6797,Hotel São Geraldo
51,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
53,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
54,Saint George,US,84.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
59,Ambilobe,MG,74.59,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
62,Bluefields,NI,87.87,scattered clouds,12.0137,-83.7635,Nicaraguan Typical House Downtown
64,Manicore,BR,85.98,overcast clouds,-5.8092,-61.3003,Hotel Durval
65,Gashua,NG,87.15,broken clouds,12.871,11.0482,Forte Oil - Old Lorry Park
66,Sao Joao Da Barra,BR,80.69,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
68,Cajati,BR,71.08,broken clouds,-24.7361,-48.1228,Lanchonete e Hotel Cortesia
72,Dhidhdhoo,MV,84.56,broken clouds,6.8833,73.1,Dhidhoo beach
77,Pasni,PK,79.75,clear sky,25.2631,63.471,Kashmiri Hotal
79,Manapparai,IN,85.06,few clouds,10.6,78.4167,VIJAY GUEST HOUSE (LODGE)
89,Camana,PE,71.35,scattered clouds,-16.6228,-72.7111,Hostal Morales
90,Inhambane,MZ,73.38,drizzle,-23.865,35.3833,Oceano
91,Iralaya,HN,85.12,clear sky,15.0,-83.2333,Iglesia morava renovada
93,Uaua,BR,80.22,overcast clouds,-9.8414,-39.4817,Hotel Uauá
94,Piacabucu,BR,82.71,broken clouds,-10.4056,-36.4344,Piaçabuçu News
98,Beira,MZ,78.89,few clouds,-19.8436,34.8389,Beira Terrace Hotel
99,Niquero,CU,82.85,few clouds,20.0431,-77.5828,Islazul Niquero
102,Lantana,US,89.06,broken clouds,26.5867,-80.052,Four Seasons Resort Palm Beach
106,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
112,Salamiyah,SY,78.57,overcast clouds,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
113,Totness,SR,81.63,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
115,Toda Raisingh,IN,89.76,clear sky,26.0252,75.4849,MONU ajmera
116,Arraial Do Cabo,BR,76.86,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
117,Ibra,OM,82.29,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
120,Riyadh,SA,80.74,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
122,Udankudi,IN,84.36,overcast clouds,8.4333,78.0167,"SRI ANANDHI TRADERS,UDANGUDI"
123,Mitsamiouli,KM,82.69,few clouds,-11.3847,43.2844,Foyer ADM
127,Ugoofaaru,MV,84.49,overcast clouds,5.6667,73.0,Ungoofaaru Inn
130,Teguise,ES,70.02,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
132,Antalaha,MG,74.75,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
135,Naliya,IN,80.04,broken clouds,23.2667,68.8333,jadeja jayendrasinh
137,Point Pedro,LK,82.27,few clouds,9.8167,80.2333,Gtr homes
139,Buchanan,LR,80.17,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
142,Cabedelo,BR,88.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
143,Jaru,BR,81.19,scattered clouds,-10.4389,-62.4664,Hotel Paraná
145,Touros,BR,84.15,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
146,Trinidad,BO,85.98,clear sky,-14.8333,-64.9,Hotel Piesta
148,Molina,CL,75.06,scattered clouds,-35.1167,-71.2833,Hostal Pucará
153,Arlit,NE,83.35,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
154,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
156,Victoria,HK,70.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
158,Vredendal,ZA,76.33,clear sky,-31.6683,18.5012,Tharrakamma Guest House
160,Mecca,SA,87.42,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
164,Muzaffarabad,PK,71.31,overcast clouds,34.37,73.4711,Pearl Continental Muzaffarabad
165,Cayenne,GF,77.04,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
166,Ilo,PE,70.66,clear sky,-17.6394,-71.3375,Torreblanca Hotel
168,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
174,Palghar,IN,80.01,clear sky,19.6833,72.75,"Samarth Krupa Farm, Palghar"
