City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Serpneve,46.3009,29.0196,40.59,60,58,18.25,UA,2022-04-12 00:13:14
1,Busselton,-33.65,115.3333,61.05,77,0,12.17,AU,2022-04-12 00:07:57
2,Bredasdorp,-34.5322,20.0403,65.19,71,1,0.83,ZA,2022-04-12 00:08:17
3,Rio Gallegos,-51.6226,-69.2181,42.85,65,0,11.5,AR,2022-04-12 00:09:39
4,East London,-33.0153,27.9116,65.59,84,100,8.52,ZA,2022-04-12 00:07:45
5,Toamasina,-18.1667,49.3833,73.87,87,39,8.81,MG,2022-04-12 00:13:53
6,Roald,62.5833,6.1333,39.34,75,75,2.3,NO,2022-04-12 00:07:47
7,Narsaq,60.9167,-46.05,39.42,49,90,11.65,GL,2022-04-12 00:08:04
8,Tuskegee,32.424,-85.6916,66.24,100,100,7.4,US,2022-04-12 00:13:54
9,Tasiilaq,65.6145,-37.6368,15.96,87,100,4.97,GL,2022-04-12 00:07:41
10,Port Alfred,-33.5906,26.891,66.18,89,99,3.0,ZA,2022-04-12 00:07:33
11,Port-Cartier,50.0334,-66.8654,31.64,98,89,4.85,CA,2022-04-12 00:09:26
12,Ushuaia,-54.8,-68.3,39.83,82,98,4.45,AR,2022-04-12 00:02:35
13,Rio Grande,-32.035,-52.0986,66.94,85,100,9.08,BR,2022-04-12 00:13:55
14,Sao Filipe,14.8961,-24.4956,71.49,74,82,12.33,CV,2022-04-12 00:09:45
15,Klaksvik,62.2266,-6.589,41.92,78,100,25.88,FO,2022-04-12 00:06:13
16,Pascagoula,30.3658,-88.5561,69.84,90,20,14.97,US,2022-04-12 00:10:42
17,Ruwi,23.5996,58.5507,85.69,26,0,7.2,OM,2022-04-12 00:13:56
18,Jamestown,42.097,-79.2353,53.71,70,100,6.91,US,2022-04-12 00:07:44
19,Honningsvag,70.9821,25.9704,37.15,81,100,9.22,NO,2022-04-12 00:09:28
20,Longyearbyen,78.2186,15.6401,4.84,72,0,4.61,SJ,2022-04-12 00:07:52
21,Saldanha,-33.0117,17.9442,65.41,62,0,7.54,ZA,2022-04-12 00:07:51
22,Storebo,60.0948,5.2271,38.26,75,100,4.72,NO,2022-04-12 00:13:58
23,Abu Samrah,35.3029,37.1841,52.03,71,8,26.08,SY,2022-04-12 00:13:58
24,Tessalit,20.1986,1.0114,80.98,5,6,5.66,ML,2022-04-12 00:13:59
25,Sabya,17.1495,42.6254,85.48,47,0,6.31,SA,2022-04-12 00:13:59
26,Cidreira,-30.1811,-50.2056,69.04,93,91,12.53,BR,2022-04-12 00:08:29
27,Cape Town,-33.9258,18.4232,71.91,56,16,4.0,ZA,2022-04-12 00:07:23
28,Rumuruti,0.267,36.5389,57.87,80,56,4.47,KE,2022-04-12 00:14:00
29,Mar Del Plata,-38.0023,-57.5575,57.22,89,40,8.99,AR,2022-04-12 00:07:25
30,Uromi,6.7,6.3333,71.35,81,100,5.26,NG,2022-04-12 00:14:00
31,Elizabeth City,36.2946,-76.2511,67.01,76,0,5.75,US,2022-04-12 00:14:01
32,Upernavik,72.7868,-56.1549,14.49,95,100,8.25,GL,2022-04-12 00:07:35
33,Areka,7.0667,37.7,60.82,92,100,0.69,ET,2022-04-12 00:14:01
34,Punta Arenas,-53.15,-70.9167,42.91,75,0,16.11,CL,2022-04-12 00:08:27
35,Hermanus,-34.4187,19.2345,66.79,61,6,5.75,ZA,2022-04-12 00:07:38
36,Saint George,37.1041,-113.5841,76.62,18,0,40.29,US,2022-04-12 00:07:44
37,Khromtau,50.2503,58.4347,42.69,94,15,9.89,KZ,2022-04-12 00:14:02
38,Ribeira Grande,38.5167,-28.7,60.89,92,100,12.1,PT,2022-04-12 00:07:32
39,Ndele,8.4109,20.6473,78.66,61,72,5.14,CF,2022-04-12 00:14:03
40,Belyy Yar,53.6039,91.3903,24.69,68,98,4.47,RU,2022-04-12 00:14:03
41,Comodoro Rivadavia,-45.8667,-67.5,53.46,66,40,17.27,AR,2022-04-12 00:07:27
42,Ullapool,57.8987,-5.1604,45.36,87,100,8.88,GB,2022-04-12 00:14:04
43,Clyde River,70.4692,-68.5914,-7.74,100,35,3.58,CA,2022-04-12 00:07:30
44,Krasnoselkup,65.7,82.4667,33.01,99,100,7.09,RU,2022-04-12 00:10:49
45,Victoria,22.2855,114.1577,78.85,84,0,3.0,HK,2022-04-12 00:03:25
46,Mezhdurechensk,53.6942,88.0603,20.75,89,24,2.01,RU,2022-04-12 00:14:05
47,Bengkulu,-3.8004,102.2655,75.11,90,98,3.53,ID,2022-04-12 00:14:06
48,Akonolinga,3.7667,12.25,68.58,99,38,1.63,CM,2022-04-12 00:14:06
49,Georgetown,5.4112,100.3354,78.73,89,20,0.0,MY,2022-04-12 00:09:41
50,Port Elizabeth,-33.918,25.5701,65.32,91,71,5.01,ZA,2022-04-12 00:05:02
51,Suruc,36.9761,38.425,49.24,75,0,21.77,TR,2022-04-12 00:14:08
52,Aranos,-24.1333,19.1167,64.89,60,0,11.03,NA,2022-04-12 00:14:08
53,Horta,38.5333,-28.6333,60.03,93,100,11.99,PT,2022-04-12 00:14:07
54,Westport,41.1415,-73.3579,53.28,62,0,8.05,US,2022-04-12 00:14:09
55,Castro,-24.7911,-50.0119,64.11,94,87,2.28,BR,2022-04-12 00:08:32
56,Olinda,-8.0089,-34.8553,79.79,71,86,5.77,BR,2022-04-12 00:03:35
57,Benguela,-12.5763,13.4055,76.26,85,89,2.28,AO,2022-04-12 00:14:09
58,Araouane,18.9048,-3.5265,82.85,5,12,8.72,ML,2022-04-12 00:14:10
59,Nosy Varika,-20.5833,48.5333,75.0,78,71,7.18,MG,2022-04-12 00:14:10
60,Gogosari,43.8667,25.7,39.13,78,70,5.39,RO,2022-04-12 00:14:11
61,Novoagansk,61.9449,76.6625,30.15,97,100,6.29,RU,2022-04-12 00:14:11
62,Abha,18.2164,42.5053,61.05,48,0,0.0,SA,2022-04-12 00:10:25
63,Codrington,-38.2667,141.9667,58.73,52,100,7.52,AU,2022-04-12 00:08:20
64,Namibe,-15.1961,12.1522,77.7,74,96,10.76,AO,2022-04-12 00:07:36
65,Vila Velha,-20.3297,-40.2925,78.75,87,40,2.3,BR,2022-04-12 00:07:32
66,Hamilton,39.1834,-84.5333,59.09,90,100,10.36,US,2022-04-12 00:09:04
67,Gwembe,-16.4975,27.6069,63.07,84,100,1.39,ZM,2022-04-12 00:14:13
68,Minna,9.6139,6.5569,84.25,51,54,7.65,NG,2022-04-12 00:14:13
69,Luanda,-8.8368,13.2343,77.77,85,52,5.53,AO,2022-04-12 00:08:32
70,Harlingen,26.1906,-97.6961,83.05,52,0,21.85,US,2022-04-12 00:14:13
71,Feijo,-8.1642,-70.3536,74.84,93,53,2.82,BR,2022-04-12 00:14:14
72,Tamandare,-8.7597,-35.1047,77.67,74,24,5.12,BR,2022-04-12 00:11:07
73,Peniche,39.3558,-9.3811,57.29,92,98,11.65,PT,2022-04-12 00:07:54
74,La Asuncion,11.0333,-63.8628,77.59,87,38,17.27,VE,2022-04-12 00:14:15
75,Valenca Do Piaui,-6.4075,-41.7456,71.8,92,44,2.98,BR,2022-04-12 00:14:15
76,Mega,4.05,38.3,60.69,75,95,4.63,ET,2022-04-12 00:14:15
77,Morro Agudo,-20.7314,-48.0578,74.68,68,81,1.05,BR,2022-04-12 00:14:16
78,Carutapera,-1.195,-46.02,77.38,89,100,6.64,BR,2022-04-12 00:12:08
79,Vestmanna,62.1564,-7.1664,40.12,75,75,19.57,FO,2022-04-12 00:14:17
80,Chuy,-33.6971,-53.4616,67.37,93,54,5.46,UY,2022-04-12 00:08:21
81,Souillac,-20.5167,57.5167,76.89,79,17,16.58,MU,2022-04-12 00:07:28
82,Luderitz,-26.6481,15.1594,68.09,54,0,3.42,NA,2022-04-12 00:07:53
83,Rocha,-34.4833,-54.3333,64.85,93,20,4.27,UY,2022-04-12 00:08:56
84,Komsomolets,53.7453,62.0708,41.79,70,100,10.22,KZ,2022-04-12 00:14:18
85,Talovaya,51.1144,40.73,52.34,81,31,13.49,RU,2022-04-12 00:14:19
86,Qaanaaq,77.484,-69.3632,-7.22,72,25,5.77,GL,2022-04-12 00:07:48
87,Margate,51.3813,1.3862,54.1,81,100,1.01,GB,2022-04-12 00:09:58
88,Karasjok,69.4719,25.5112,25.61,93,89,9.44,NO,2022-04-12 00:14:19
89,Nizhniy Odes,63.6445,54.856,36.05,100,100,7.45,RU,2022-04-12 00:14:20
90,Torbay,47.6666,-52.7314,35.58,90,100,11.99,CA,2022-04-12 00:07:58
91,Tecuci,45.8497,27.4344,42.42,54,5,13.53,RO,2022-04-12 00:14:20
92,Oussouye,12.485,-16.5469,70.59,76,3,8.61,SN,2022-04-12 00:14:21
93,Mogadishu,2.0371,45.3438,81.64,78,90,6.76,SO,2022-04-12 00:09:52
94,Paamiut,61.994,-49.6678,26.6,77,100,9.28,GL,2022-04-12 00:08:22
95,Taltal,-25.4,-70.4833,61.43,79,22,3.78,CL,2022-04-12 00:12:20
96,Nanortalik,60.1432,-45.2371,32.14,75,100,9.28,GL,2022-04-12 00:08:47
97,Caravelas,-17.7125,-39.2481,76.32,82,28,2.89,BR,2022-04-12 00:08:30
98,Bilma,18.6853,12.9164,85.33,6,0,5.64,NE,2022-04-12 00:08:46
99,Touros,-5.1989,-35.4608,79.25,77,100,10.11,BR,2022-04-12 00:09:59
100,Kupino,54.3663,77.2981,31.89,70,89,7.34,RU,2022-04-12 00:14:23
101,Sao Sebastiao,-23.76,-45.4097,74.55,90,43,8.81,BR,2022-04-12 00:14:23
